date,value
2023-01-03,4.2137
2023-01-04,4.2515
2023-01-05,4.2376
2023-01-06,4.2191
2023-01-09,4.2442
2023-01-10,4.2195
2023-01-11,4.1876
2023-01-12,4.1633
2023-01-13,4.1717
2023-01-16,4.1683
2023-01-17,4.1877
2023-01-18,4.1859
2023-01-19,4.2079
2023-01-20,4.2109
2023-01-23,4.1765
2023-01-24,4.1445
2023-01-25,4.1542
2023-01-26,4.2119
2023-01-27,4.2511
2023-01-30,4.2967
2023-01-31,4.28
2023-02-01,4.2602
2023-02-02,4.219
2023-02-03,4.1596
2023-02-06,4.1801
2023-02-07,4.1608
2023-02-08,4.2075
2023-02-09,4.2428
2023-02-10,4.2459
2023-02-13,4.2781
2023-02-14,4.2741
2023-02-15,4.2551
2023-02-16,4.2639
2023-02-17,4.258
2023-02-20,4.2859
2023-02-21,4.4172
2023-02-22,4.4264
2023-02-23,4.3531
2023-02-24,4.4018
2023-02-27,4.4007
2023-02-28,4.4349
2023-03-01,4.3809
2023-03-02,4.364
2023-03-03,4.3914
2023-03-06,4.3064
2023-03-09,4.2789
2023-03-10,4.3087
2023-03-13,4.3813
2023-03-14,4.4247
2023-03-15,4.3964
2023-03-16,4.4236
2023-03-17,4.4489
2023-03-20,4.4956
2023-03-21,4.4727
2023-03-22,4.4704
2023-03-23,4.4384
2023-03-24,4.4461
2023-03-27,4.3654
2023-03-28,4.3509
2023-03-29,4.3952
2023-03-30,4.4262
2023-03-31,4.4672
2023-04-03,4.4466
2023-04-04,4.4529
2023-04-11,4.5029
2023-04-13,4.5735
2023-04-14,4.5804
2023-04-17,4.5275
2023-04-18,4.533
2023-04-19,4.5359
2023-04-20,4.547
2023-04-21,4.5339
2023-04-24,4.5499
2023-04-25,4.5361
2023-04-27,4.5269
2023-04-28,4.5413
2023-05-01,4.5356
2023-05-02,4.516
2023-05-03,4.5492
2023-05-04,4.5751
2023-05-05,4.5983
2023-05-08,4.5975
2023-05-09,4.6148
2023-05-10,4.6333
2023-05-11,4.5916
2023-05-12,4.5656
2023-05-15,4.5577
2023-05-16,4.5869
2023-05-17,4.5439
2023-05-18,4.5286
2023-05-19,4.5242
2023-05-22,4.5493
2023-05-23,4.5475
2023-05-24,4.6162
2023-05-25,4.6085
2023-05-30,4.6089
2023-05-31,4.5932
2023-06-01,4.657
2023-06-02,4.6952
2023-06-05,4.626
2023-06-06,4.6087
2023-06-07,4.5565
2023-06-08,4.5631
2023-06-09,4.5554
2023-06-12,4.5082
2023-06-13,4.4707
2023-06-14,4.5711
2023-06-15,4.5394
2023-06-16,4.5462
2023-06-19,4.6151
2023-06-20,4.6019
2023-06-21,4.5844
2023-06-22,4.6317
2023-06-23,4.6096
2023-06-26,4.6129
2023-06-27,4.6297
2023-06-28,4.6724
2023-06-29,4.6717
2023-06-30,4.6707
2023-07-03,4.707
2023-07-04,4.7083
2023-07-05,4.6951
2023-07-06,4.726
2023-07-07,4.7359
2023-07-10,4.7467
2023-07-11,4.7905
2023-07-12,4.7343
2023-07-13,4.725
2023-07-14,4.7342
2023-07-17,4.7544
2023-07-18,4.7665
2023-07-19,4.6367
2023-07-20,4.6333
2023-07-21,4.6541
2023-07-24,4.6514
2023-07-25,4.7735
2023-07-26,4.7888
2023-07-28,4.758
2023-07-31,4.7529
2023-08-01,4.6683
2023-08-02,4.6711
2023-08-03,4.6669
2023-08-04,4.6826
2023-08-07,4.6827
2023-08-08,4.7055
2023-08-09,4.7338
2023-08-10,4.7473
2023-08-11,4.7303
2023-08-14,4.7322
2023-08-15,4.7819
2023-08-16,4.7826
2023-08-17,4.8165
2023-08-18,4.8237
2023-08-21,4.8399
2023-08-22,4.8229
2023-08-23,4.7884
2023-08-24,4.7848
2023-08-25,4.7821
2023-08-28,4.7775
2023-08-29,4.7926
2023-08-30,4.8022
2023-08-31,4.8179
2023-09-01,4.8102
2023-09-04,4.8128
2023-09-05,4.7607
2023-09-06,4.7804
2023-09-07,4.7945
2023-09-08,4.8014
2023-09-11,4.8084
2023-09-12,4.7355
2023-09-13,4.7638
2023-09-14,4.7681
2023-09-18,4.7442
2023-09-19,4.7148
2023-09-20,4.7116
2023-09-21,4.675
2023-09-22,4.6777
2023-09-26,4.6523
2023-09-27,4.6692
2023-09-28,4.7003
2023-09-29,4.6779
2023-10-02,4.6677
2023-10-03,4.6502
2023-10-04,4.6716
2023-10-05,4.6797
2023-10-06,4.7072
2023-10-09,4.7617
2023-10-10,4.8347
2023-10-11,4.8648
2023-10-12,4.8709
2023-10-13,4.8468
2023-10-16,4.8467
2023-10-17,4.882
2023-10-18,4.9006
2023-10-19,4.8801
2023-10-20,4.9034
2023-10-23,4.9447
2023-10-24,4.9652
2023-10-25,4.9261
2023-10-26,4.9268
2023-10-27,4.9452
2023-10-30,4.9171
2023-10-31,4.8982
2023-11-01,4.8865
2023-11-02,4.8391
2023-11-03,4.8668
2023-11-06,4.8151
2023-11-07,4.753
2023-11-08,4.7201
2023-11-09,4.7254
2023-11-10,4.7287
2023-11-13,4.7354
2023-11-14,4.7127
2023-11-15,4.6951
2023-11-16,4.6876
2023-11-17,4.6269
2023-11-20,4.6468
2023-11-21,4.6521
2023-11-22,4.6728
2023-11-23,4.6835
2023-11-24,4.6918
2023-11-27,4.7084
2023-11-28,4.6809
2023-11-29,4.6612
2023-11-30,4.6954
2023-12-01,4.7312
2023-12-04,4.6999
2023-12-05,4.7082
2023-12-06,4.6669
2023-12-07,4.6522
2023-12-08,4.6472
2023-12-11,4.675
2023-12-12,4.6601
2023-12-13,4.6449
2023-12-14,4.6847
2023-12-15,4.6753
2023-12-18,4.6243
2023-12-19,4.6288
2023-12-20,4.6091
2023-12-21,4.5762
2023-12-22,4.5698
2023-12-26,4.6058
2023-12-27,4.6132
2023-12-28,4.6198
2023-12-29,4.6209
2024-01-02,4.5849
2024-01-03,4.6048
2024-01-04,4.6353
2024-01-05,4.6362
2024-01-08,4.7238
2024-01-09,4.7267
2024-01-10,4.7804
2024-01-11,4.768
2024-01-12,4.7546
2024-01-15,4.7782
2024-01-16,4.7645
2024-01-17,4.8009
2024-01-18,4.7788
2024-01-19,4.7541
2024-01-22,4.7923
2024-01-23,4.7898
2024-01-24,4.7388
2024-01-25,4.7142
2024-01-26,4.7153
2024-01-29,4.6831
2024-01-30,4.6301
2024-01-31,4.6094
2024-02-01,4.6247
2024-02-02,4.6474
2024-02-05,4.6144
2024-02-06,4.5734
2024-02-07,4.6053
2024-02-08,4.6242
2024-02-09,4.6469
2024-02-12,4.647
2024-02-13,4.6186
2024-02-14,4.5964
2024-02-15,4.5543
2024-02-16,4.5422
2024-02-19,4.5683
2024-02-20,4.6037
2024-02-21,4.6396
2024-02-22,4.6171
2024-02-23,4.602
2024-02-26,4.6325
2024-02-28,4.5635
2024-02-29,4.5372
2024-03-01,4.5049
2024-03-04,4.5315
2024-03-05,4.5554
2024-03-06,4.5871
2024-03-07,4.578
2024-03-08,4.5915
2024-03-11,4.6359
2024-03-12,4.6666
2024-03-13,4.684
2024-03-14,4.6395
2024-03-15,4.6526
2024-03-18,4.6508
2024-03-19,4.6601
2024-03-20,4.6717
2024-03-21,4.5935
2024-03-22,4.5616
