date,value
2023-01-03,74.5069027906
2023-01-04,74.688899264
2023-01-05,74.7613740319
2023-01-06,75.0525597025
2023-01-09,74.5534982987
2023-01-10,74.2745423554
2023-01-11,73.8712985147
2023-01-12,73.4103559007
2023-01-13,73.3532704221
2023-01-16,73.3823183765
2023-01-17,73.3306519616
2023-01-18,72.7000304455
2023-01-19,73.1085458082
2023-01-20,73.1842236442
2023-01-23,72.6421398288
2023-01-24,72.4117303259
2023-01-25,72.412689128
2023-01-26,73.1256694946
2023-01-27,73.8970883225
2023-01-30,74.6510165741
2023-01-31,74.5811563965
2023-02-01,74.3872098381
2023-02-02,73.903380829
2023-02-03,73.1899353286
2023-02-06,74.1528271645
2023-02-07,73.9968621376
2023-02-08,74.2882352439
2023-02-09,74.5373179102
2023-02-10,74.7135636759
2023-02-13,75.2694543512
2023-02-14,74.6939814936
2023-02-15,75.0026215064
2023-02-16,75.1471947247
2023-02-17,75.4492857528
2023-02-20,75.6126790861
2023-02-21,77.3317685579
2023-02-22,77.5260074785
2023-02-23,76.439266827
2023-02-24,77.2392291914
2023-02-27,77.3765791729
2023-02-28,77.4324151564
2023-03-01,77.0596260772
2023-03-02,76.9780640697
2023-03-03,77.4510457783
2023-03-06,75.8743866488
2023-03-09,75.8089864549
2023-03-10,75.751656649
2023-03-13,76.8887607617
2023-03-14,77.0643396674
2023-03-15,76.8677669461
2023-03-16,77.4187186324
2023-03-17,77.6001203937
2023-03-20,77.9550055834
2023-03-21,77.58762211
2023-03-22,77.4339133666
2023-03-23,77.1373926276
2023-03-24,77.2078134623
2023-03-27,75.6431817032
2023-03-28,75.2763020877
2023-03-29,75.9706089281
2023-03-30,76.4634865679
2023-03-31,77.1119152181
2023-04-03,76.5772948677
2023-04-04,76.0826651465
2023-04-11,77.2426315062
2023-04-13,78.288269169
2023-04-14,78.5653920135
2023-04-17,77.9672982636
2023-04-18,77.9431931646
2023-04-19,77.9816006558
2023-04-20,78.0189643896
2023-04-21,77.9772713613
2023-04-24,78.2058505423
2023-04-25,77.7491192947
2023-04-27,77.6746593502
2023-04-28,77.6932302848
2023-05-01,77.31819159
2023-05-02,77.2337281762
2023-05-03,77.7842514209
2023-05-04,77.9414979803
2023-05-05,78.1501531697
2023-05-08,77.8915030584
2023-05-09,78.2467664902
2023-05-10,78.5718712492
2023-05-11,77.8349799122
2023-05-12,77.7471373392
2023-05-15,77.6184971243
2023-05-16,77.9271271659
2023-05-17,77.4313740513
2023-05-18,77.0925079501
2023-05-19,77.1324042642
2023-05-22,77.365450723
2023-05-23,77.6135534047
2023-05-24,78.8144009875
2023-05-25,78.6569634746
2023-05-30,78.1557211499
2023-05-31,77.9901291578
2023-06-01,78.5133065923
2023-06-02,79.0078144287
2023-06-05,78.3927302331
2023-06-06,77.9665260113
2023-06-07,76.5420506093
2023-06-08,76.6187202616
2023-06-09,76.0851842504
2023-06-12,75.1635977151
2023-06-13,74.5568043347
2023-06-14,75.7951275515
2023-06-15,75.2065239016
2023-06-16,74.9286499514
2023-06-19,75.8060816498
2023-06-20,75.899036745
2023-06-21,75.7463596563
2023-06-22,76.3136166608
2023-06-23,75.8821326111
2023-06-26,75.7051785892
2023-06-27,76.0426459344
2023-06-28,76.7994280097
2023-06-29,76.9666787663
2023-06-30,76.9292357737
2023-07-03,77.309642213
2023-07-04,77.279359612
2023-07-05,76.9333998625
2023-07-06,77.0239359727
2023-07-07,77.2810534031
2023-07-10,77.356564383
2023-07-11,77.6302448641
2023-07-12,76.7792020942
2023-07-13,76.2700122203
2023-07-14,76.290304386
2023-07-17,76.75992038
2023-07-18,76.8022721541
2023-07-19,75.5114519973
2023-07-20,75.683522156
2023-07-21,75.9074194633
2023-07-24,75.9369954258
2023-07-25,77.9468077443
2023-07-26,77.8778179206
2023-07-28,77.6504684115
2023-07-31,77.3786115279
2023-08-01,76.3217232887
2023-08-02,76.2463917949
2023-08-03,76.7399888501
2023-08-04,76.6939204078
2023-08-07,76.5401026189
2023-08-08,76.8770523618
2023-08-09,77.2838421496
2023-08-10,77.4284681574
2023-08-11,77.3583573135
2023-08-14,77.1604984072
2023-08-15,77.8886732285
2023-08-16,77.6930923233
2023-08-17,78.1598899341
2023-08-18,78.4399596324
2023-08-21,78.5407936182
2023-08-22,78.1900072152
2023-08-23,78.190189276
2023-08-24,78.0699688293
2023-08-25,78.5128109299
2023-08-28,78.4886488255
2023-08-29,78.6536488902
2023-08-30,78.6517233037
2023-08-31,78.7043721117
2023-09-01,78.5477445414
2023-09-04,78.6731616148
2023-09-05,78.0363641525
2023-09-06,78.3396506116
2023-09-07,78.9679539573
2023-09-08,78.8995914754
2023-09-11,79.047825684
2023-09-12,78.1064653721
2023-09-13,78.5696958585
2023-09-14,78.7172559236
2023-09-18,78.5089003031
2023-09-19,78.1515339645
2023-09-20,78.2505195621
2023-09-21,77.9725995891
2023-09-22,78.1582205625
2023-09-26,77.9918195454
2023-09-27,78.3821544745
2023-09-28,78.4234284061
2023-09-29,78.0940212508
2023-10-02,78.0440849842
2023-10-03,78.0982419481
2023-10-04,78.3579833149
2023-10-05,78.3859415665
2023-10-06,78.5482177605
2023-10-09,79.4820147463
2023-10-10,80.4651743732
