date,value
2023-01,3.6534681547
2023-02,3.9691387675
2023-03,4.2597507352
2023-04,4.1617890627
2023-05,4.1826654972
2023-06,4.2081704023
2023-07,4.2048352948
2023-08,4.2532067834
2023-09,4.3781063833
2023-10,4.2361659141
2023-11,3.9139282568
2023-12,3.6900097508
2024-01,3.7839238276
2024-02,3.7761216861
2024-03,3.9102827086
2024-04,4.1863951417
2024-05,4.3297677683
2024-06,4.3726188798
2024-07,4.2855352995
2024-08,4.1740565117
2024-09,4.31754404
2024-10,4.5185535999
2024-11,4.4345228266
2024-12,4.243050199
2025-01,4.2547224891
2025-02,4.1613099207
2025-03,4.1534904532
2025-04,4.094087936
2025-05,4.1701380786
2025-06,4.2103383388
2025-07,4.0116826941
2025-08,3.9894815282
2025-09,3.9289339235
2025-10,3.7795372923
2025-11,3.7569530543
2025-12,3.795525772
2026-01,3.548481552
2026-02,3.4158089288
2026-03,3.7294129763
2026-04,3.7244573303
2026-05,3.643105241
2026-06,3.305445289
