date,value
2023-01-03,3.532
2023-01-04,3.527
2023-01-05,3.529
2023-01-06,3.556
2023-01-09,3.496
2023-01-10,3.48
2023-01-11,3.458
2023-01-12,3.429
2023-01-13,3.41
2023-01-16,3.417
2023-01-17,3.418
2023-01-18,3.381
2023-01-19,3.408
2023-01-20,3.407
2023-01-23,3.38
2023-01-24,3.373
2023-01-25,3.37
2023-01-26,3.399
2023-01-27,3.438
2023-01-30,3.468
2023-01-31,3.475
2023-02-01,3.456
2023-02-02,3.422
2023-02-03,3.398
2023-02-06,3.474
2023-02-07,3.473
2023-02-08,3.481
2023-02-09,3.489
2023-02-10,3.507
2023-02-13,3.54
2023-02-14,3.502
2023-02-15,3.529
2023-02-16,3.538
2023-02-17,3.566
2023-02-20,3.563
2023-02-21,3.649
2023-02-22,3.663
2023-02-23,3.613
2023-02-24,3.659
2023-02-27,3.673
2023-02-28,3.668
2023-03-01,3.636
2023-03-02,3.642
2023-03-03,3.664
2023-03-06,3.589
2023-03-09,3.598
2023-03-10,3.595
2023-03-13,3.626
2023-03-14,3.627
2023-03-15,3.641
2023-03-16,3.667
2023-03-17,3.667
2023-03-20,3.677
2023-03-21,3.65
2023-03-22,3.642
2023-03-23,3.612
2023-03-24,3.628
2023-03-27,3.557
2023-03-28,3.534
2023-03-29,3.566
2023-03-30,3.586
2023-03-31,3.615
2023-04-03,3.593
2023-04-04,3.564
2023-04-11,3.624
2023-04-13,3.655
2023-04-14,3.661
2023-04-17,3.647
2023-04-18,3.647
2023-04-19,3.659
2023-04-20,3.654
2023-04-21,3.656
2023-04-24,3.661
2023-04-25,3.639
2023-04-27,3.636
2023-04-28,3.641
2023-05-01,3.619
2023-05-02,3.62
2023-05-03,3.637
2023-05-04,3.636
2023-05-05,3.647
2023-05-08,3.633
2023-05-09,3.659
2023-05-10,3.675
2023-05-11,3.643
2023-05-12,3.642
2023-05-15,3.648
2023-05-16,3.661
2023-05-17,3.65
2023-05-18,3.639
2023-05-19,3.645
2023-05-22,3.651
2023-05-23,3.672
2023-05-24,3.731
2023-05-25,3.73
2023-05-30,3.709
2023-05-31,3.715
2023-06-01,3.736
2023-06-02,3.745
2023-06-05,3.735
2023-06-06,3.715
2023-06-07,3.655
2023-06-08,3.663
2023-06-09,3.63
2023-06-12,3.588
2023-06-13,3.558
2023-06-14,3.615
2023-06-15,3.584
2023-06-16,3.553
2023-06-19,3.602
2023-06-20,3.609
2023-06-21,3.604
2023-06-22,3.628
2023-06-23,3.628
2023-06-26,3.625
2023-06-27,3.638
2023-06-28,3.679
2023-06-29,3.692
2023-06-30,3.7
2023-07-03,3.713
2023-07-04,3.706
2023-07-05,3.698
2023-07-06,3.699
2023-07-07,3.717
2023-07-10,3.71
2023-07-11,3.709
2023-07-12,3.665
2023-07-13,3.618
2023-07-14,3.609
2023-07-17,3.635
2023-07-18,3.635
2023-07-19,3.59
2023-07-20,3.593
2023-07-21,3.617
2023-07-24,3.62
2023-07-25,3.717
