date,value
2026-04-13,23183.740234375
2026-04-14,23639.080078125
2026-04-15,24016.01953125
2026-04-16,24102.69921875
2026-04-17,24468.48046875
2026-04-20,24404.390625
2026-04-21,24259.9609375
2026-04-22,24657.5703125
2026-04-23,24438.5
2026-04-24,24836.599609375
2026-04-27,24887.099609375
2026-04-28,24663.80078125
2026-04-29,24673.240234375
2026-04-30,24892.310546875
2026-05-01,25114.439453125
2026-05-04,25067.80078125
2026-05-05,25326.130859375
2026-05-06,25838.939453125
2026-05-07,25806.19921875
2026-05-08,26247.080078125
2026-05-11,26274.130859375
2026-05-12,26088.19921875
2026-05-13,26402.33984375
2026-05-14,26635.220703125
2026-05-15,26225.140625
2026-05-18,26090.73046875
2026-05-19,25870.7109375
2026-05-20,26270.359375
2026-05-21,26293.099609375
2026-05-22,26343.970703125
2026-05-26,26656.1796875
2026-05-27,26674.73046875
2026-05-28,26917.470703125
2026-05-29,26972.619140625
2026-06-01,27086.810546875
2026-06-02,27093.900390625
2026-06-03,26853.98046875
2026-06-04,26830.9609375
2026-06-05,25709.4296875
2026-06-08,25929.66015625
2026-06-09,25678.8203125
2026-06-10,25169.5
2026-06-11,25809.66015625
2026-06-12,25888.83984375
2026-06-15,26683.939453125
2026-06-16,26376.33984375
2026-06-17,26021.66015625
2026-06-18,26517.9296875
2026-06-22,26166.599609375
2026-06-23,25587.0390625
2026-06-24,25476.640625
2026-06-25,25358.599609375
2026-06-26,25297.619140625
2026-06-29,25820.140625
2026-06-30,26213.720703125
2026-07-01,26040.029296875
2026-07-02,25832.669921875
2026-07-06,26121.16015625
2026-07-07,25818.689453125
2026-07-08,25870.650390625
2026-07-09,26206.890625
2026-07-10,26281.607421875
